0
2
0
0
1
2
2
10
2
11
0
9
0
0
10
10
0
9
2
0
10
10
0
10
0
0
10
9
0
9
0
9
0
0
9
0
0
0
0
1
11
0
0
9
0
9
0
9
0
1
0
2
0
10
0
1
0
9
9
0
10
0
0
0
0
1
10
1
1
9
10
0
0
9
0
0
1
0
1
10
1
0
0
0
2
0
10
0
0
0
1
0
0
1
1
0
10
0
0
1
0
2
0
2
0
10
10
0
1
0
1
0
1
0
0
0
1
0
10
10
9
10
0
2
0
2
2
0
0
2
1
0
0
9
9
1
10
2
0
0
1
0
1
1
0
1
0
1
0
0
2
0
0
1
0
1
0
0
0
10
2
1
0
0
0
1
1
0
1
10
9
0
9
0
9
0
11
0
2
0
1
0
1
9
10
9
0
10
11
1
0
0
0
1
2
2
0
11
9
0
1
0
0
0
10
0
11
10
1
0
0
0
0
10
0
11
11
0
0
1
2
0
2
0
2
0
3
0
2
0
2
0
0
0
10
9
1
0
0
9
1
1
2
0
0
9
0
1
0
10
